NAME                                                                          VERSION                                 TYPE                        
System.Linq.Expressions                                                       8.0.2826.26413                          dotnet                       
System.Linq.Parallel                                                          8.0.2826.26413                          dotnet                       
System.Linq.Queryable                                                         8.0.2826.26413                          dotnet                       
System.Memory                                                                 8.0.2826.26413                          dotnet                       
System.Memory.Data                                                            8.0.1024.46610                          dotnet                       
System.Net                                                                    8.0.2826.26413                          dotnet                       
System.Net.Http                                                               8.0.2826.26413                          dotnet                       
System.Net.Http.Formatting                                                    6.0.61130.707                           dotnet                       
System.Net.Http.Json                                                          8.0.2826.26413                          dotnet                       
System.Net.HttpListener                                                       8.0.2826.26413                          dotnet                       
System.Net.Mail                                                               8.0.2826.26413                          dotnet                       
System.Net.NameResolution                                                     8.0.2826.26413                          dotnet                       
System.Net.NetworkInformation                                                 8.0.2826.26413                          dotnet                       
System.Net.Ping                                                               8.0.2826.26413                          dotnet                       
System.Net.Primitives                                                         8.0.2826.26413                          dotnet                       
System.Net.Quic                                                               8.0.2826.26413                          dotnet                       
System.Net.Requests                                                           8.0.2826.26413                          dotnet                       
System.Net.Security                                                           8.0.2826.26413                          dotnet                       
System.Net.ServicePoint                                                       8.0.2826.26413                          dotnet                       
System.Net.Sockets                                                            8.0.2826.26413                          dotnet                       
System.Net.WebClient                                                          8.0.2826.26413                          dotnet                       
System.Net.WebHeaderCollection                                                8.0.2826.26413                          dotnet                       
System.Net.WebProxy                                                           8.0.2826.26413                          dotnet                       
System.Net.WebSockets                                                         8.0.2826.26413                          dotnet                       
System.Net.WebSockets.Client                                                  8.0.2826.26413                          dotnet                       
System.Numerics                                                               8.0.2826.26413                          dotnet                       
System.Numerics.Vectors                                                       8.0.2826.26413                          dotnet                       
System.ObjectModel                                                            8.0.2826.26413                          dotnet                       
System.Private.CoreLib                                                        8.0.2826.26413                          dotnet                       
System.Private.DataContractSerialization                                      8.0.2826.26413                          dotnet                       
System.Private.Uri                                                            8.0.2826.26413                          dotnet                       
System.Private.Xml                                                            8.0.2826.26413                          dotnet                       
System.Private.Xml.Linq                                                       8.0.2826.26413                          dotnet                       
System.Reflection                                                             8.0.2826.26413                          dotnet                       
System.Reflection.DispatchProxy                                               8.0.2826.26413                          dotnet                       
System.Reflection.Emit                                                        8.0.2826.26413                          dotnet                       
System.Reflection.Emit.ILGeneration                                           8.0.2826.26413                          dotnet                       
System.Reflection.Emit.Lightweight                                            8.0.2826.26413                          dotnet                       
System.Reflection.Extensions                                                  8.0.2826.26413                          dotnet                       
System.Reflection.Metadata                                                    8.0.2826.26413                          dotnet                       
System.Reflection.Primitives                                                  8.0.2826.26413                          dotnet                       
System.Reflection.TypeExtensions                                              8.0.2826.26413                          dotnet                       
System.Resources.Reader                                                       8.0.2826.26413                          dotnet                       
System.Resources.ResourceManager                                              8.0.2826.26413                          dotnet                       
System.Resources.Writer                                                       8.0.2826.26413                          dotnet                       
System.Runtime                                                                8.0.2826.26413                          dotnet                       
System.Runtime.CompilerServices.Unsafe                                        8.0.2826.26413                          dotnet                       
System.Runtime.CompilerServices.VisualC                                       8.0.2826.26413                          dotnet                       
System.Runtime.Extensions                                                     8.0.2826.26413                          dotnet                       
System.Runtime.Handles                                                        8.0.2826.26413                          dotnet                       
System.Runtime.InteropServices                                                8.0.2826.26413                          dotnet                       
System.Runtime.InteropServices.JavaScript                                     8.0.2826.26413                          dotnet                       
System.Runtime.InteropServices.RuntimeInformation                             8.0.2826.26413                          dotnet                       
System.Runtime.Intrinsics                                                     8.0.2826.26413                          dotnet                       
System.Runtime.Loader                                                         8.0.2826.26413                          dotnet                       
System.Runtime.Numerics                                                       8.0.2826.26413                          dotnet                       
System.Runtime.Serialization                                                  8.0.2826.26413                          dotnet                       
System.Runtime.Serialization.Formatters                                       8.0.2826.26413                          dotnet                       
System.Runtime.Serialization.Json                                             8.0.2826.26413                          dotnet                       
System.Runtime.Serialization.Primitives                                       8.0.2826.26413                          dotnet                       
System.Runtime.Serialization.Xml                                              8.0.2826.26413                          dotnet                       
System.Security                                                               8.0.2826.26413                          dotnet                       
System.Security.AccessControl                                                 8.0.2826.26413                          dotnet                       
System.Security.Claims                                                        8.0.2826.26413                          dotnet                       
System.Security.Cryptography                                                  8.0.2826.26413                          dotnet                       
System.Security.Cryptography.Algorithms                                       8.0.2826.26413                          dotnet                       
System.Security.Cryptography.Cng                                              8.0.2826.26413                          dotnet                       
System.Security.Cryptography.Csp                                              8.0.2826.26413                          dotnet                       
System.Security.Cryptography.Encoding                                         8.0.2826.26413                          dotnet                       
System.Security.Cryptography.OpenSsl                                          8.0.2826.26413                          dotnet                       
System.Security.Cryptography.Pkcs                                             10.0.726.21808                          dotnet                       
System.Security.Cryptography.Primitives                                       8.0.2826.26413                          dotnet                       
System.Security.Cryptography.ProtectedData                                    10.0.326.7603                           dotnet                       
System.Security.Cryptography.X509Certificates                                 8.0.2826.26413                          dotnet                       
System.Security.Principal                                                     8.0.2826.26413                          dotnet                       
System.Security.Principal.Windows                                             8.0.2826.26413                          dotnet                       
System.Security.SecureString                                                  8.0.2826.26413                          dotnet                       
System.ServiceModel.Web                                                       8.0.2826.26413                          dotnet                       
